user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
722,high_active,0,-124,1,1072,500+,122,"[100,1k)",110,"[60,120)",902,730+,1,4,2,1180,2.0,0,0,15,394,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0
802,full_active,0,-124,1,481,"(250,500]",15,"[10,100)",14,"[5,30)",1557,730+,0,1,29,1372,1.0,0,0,38,139,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0
810,high_active,0,-124,1,57,"(50,100]",103,"[100,1k)",51,"[30,60)",1092,730+,1,1,31,377,1.0,0,0,31,42,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
867,full_active,0,1,1,1288,500+,2083,"[1k,5k)",990,250+,1630,730+,1,4,9,296,0.0,0,0,26,38,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0
890,high_active,0,-124,1,1226,500+,1066,"[1k,5k)",938,250+,213,181-365,0,5,2,1176,2.0,0,1,44,289,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0
997,full_active,0,-124,1,577,500+,190,"[100,1k)",107,"[60,120)",997,730+,1,4,9,859,1.0,0,0,31,275,5,2,0,1.0,0.0,0.0,0.0,0.0,0.0
999,high_active,0,1,1,767,500+,404,"[100,1k)",246,"[120,250)",1848,730+,1,2,19,656,2.0,0,0,7,154,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1028,full_active,0,1,1,580,500+,1104,"[1k,5k)",531,250+,854,730+,1,1,19,544,2.0,0,0,13,267,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1217,full_active,0,1,1,776,500+,111,"[100,1k)",74,"[60,120)",1907,730+,0,4,29,920,1.0,0,0,28,367,3,3,0,1.0,0.0,1.0,0.0,0.0,0.0
1289,full_active,0,-124,1,591,500+,832,"[100,1k)",589,250+,924,730+,1,1,29,906,1.0,0,0,7,138,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0
1318,high_active,0,1,1,74,"(50,100]",90,"[10,100)",68,"[60,120)",2001,730+,1,2,2,1162,8.0,0,1,34,201,4,2,2,1.0,0.0,0.0,0.0,0.0,0.0
1327,high_active,0,1,1,620,500+,426,"[100,1k)",237,"[120,250)",1541,730+,0,4,10,665,1.0,0,1,20,174,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1349,single_low_active,0,1,1,212,"(150,250]",654,"[100,1k)",183,"[120,250)",1038,730+,0,1,19,559,2.0,0,0,30,290,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0
1351,full_active,0,-124,1,272,"(250,500]",16,"[10,100)",7,"[5,30)",1535,730+,0,4,24,815,3.0,0,1,20,191,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0
1386,full_active,0,1,1,820,500+,1046,"[1k,5k)",696,250+,1520,730+,1,1,2,1159,3.0,0,1,8,36,4,4,2,0.0,0.0,0.0,1.0,0.0,0.0
1419,full_active,0,-124,1,22,"(10,50]",47,"[10,100)",0,0,1069,730+,1,4,19,583,1.0,0,0,24,206,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
1588,full_active,0,-124,1,147,"(100,150]",104,"[100,1k)",48,"[30,60)",1355,730+,0,3,29,940,1.0,0,0,31,220,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1680,full_active,0,1,1,1327,500+,60,"[10,100)",35,"[30,60)",1199,730+,0,4,31,384,5.0,0,0,19,81,6,2,0,1.0,0.0,0.0,0.0,0.0,0.0
1737,full_active,0,-124,0,482,"(250,500]",289,"[100,1k)",286,250+,665,366-730,0,4,10,765,2.0,0,1,34,180,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1876,full_active,0,-124,0,150,"(100,150]",2,"[1,10)",0,0,1616,730+,1,4,31,377,2.0,0,1,44,101,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1913,high_active,0,-124,1,722,500+,219,"[100,1k)",199,"[120,250)",1273,730+,0,3,19,597,2.0,0,1,34,80,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
1922,full_active,0,-124,1,926,500+,908,"[100,1k)",552,250+,1163,730+,0,3,29,1316,1.0,0,1,43,221,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2102,high_active,0,-124,1,1416,500+,487,"[100,1k)",47,"[30,60)",2296,730+,1,4,2,1158,5.0,0,0,22,123,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
2191,high_active,0,-124,0,3,"(0,10]",0,0,0,0,62,61-90,1,3,2,1158,7.0,0,0,13,390,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0
2193,full_active,0,-124,0,83,"(50,100]",16,"[10,100)",11,"[5,30)",1644,730+,1,1,33,956,2.0,0,0,31,354,3,2,0,1.0,0.0,0.0,1.0,1.0,0.0
2194,full_active,0,-124,1,250,"(150,250]",316,"[100,1k)",191,"[120,250)",1693,730+,0,4,29,966,3.0,0,0,28,367,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0
2216,full_active,0,1,1,332,"(250,500]",573,"[100,1k)",319,250+,1431,730+,0,5,29,936,1.0,0,0,42,120,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0
2221,high_active,0,-124,1,854,500+,411,"[100,1k)",282,250+,1544,730+,0,5,31,414,0.0,0,1,32,33,2,3,0,1.0,0.0,1.0,0.0,0.0,0.0
2287,middle_active,0,-124,1,4997,500+,2625,"[1k,5k)",1786,250+,834,730+,0,1,10,281,0.0,0,0,15,93,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0
2331,middle_active,0,-124,0,2,"(0,10]",0,0,0,0,1257,730+,1,4,10,79,0.0,0,1,20,348,4,4,0,1.0,0.0,0.0,0.0,0.0,0.0
2372,full_active,0,-124,1,221,"(150,250]",121,"[100,1k)",22,"[5,30)",244,181-365,0,4,19,640,1.0,0,1,43,43,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0
2395,full_active,0,-124,1,758,500+,128,"[100,1k)",52,"[30,60)",1335,730+,1,6,19,1241,2.0,0,0,38,139,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2444,high_active,0,-124,1,448,"(250,500]",7,"[1,10)",5,"[5,30)",495,366-730,0,4,19,620,1.0,0,0,31,42,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0
2455,full_active,0,-124,1,21,"(10,50]",13,"[10,100)",9,"[5,30)",1416,730+,1,3,19,626,0.0,0,0,15,118,6,3,0,0.0,0.0,1.0,0.0,1.0,0.0
2492,high_active,0,-124,1,380,"(250,500]",298,"[100,1k)",35,"[30,60)",2031,730+,1,4,19,594,1.0,0,0,22,104,6,2,0,1.0,0.0,0.0,0.0,0.0,0.0
2521,full_active,0,-124,1,374,"(250,500]",107,"[100,1k)",66,"[60,120)",1828,730+,1,2,29,894,3.0,0,0,19,396,3,4,0,1.0,0.0,0.0,1.0,1.0,0.0
2611,high_active,0,-124,1,40,"(10,50]",39,"[10,100)",37,"[30,60)",135,91-180,1,1,29,1334,0.0,0,1,9,167,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2624,middle_active,0,-124,1,21,"(10,50]",27,"[10,100)",15,"[5,30)",1289,730+,1,1,28,1003,,0,1,20,383,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2748,full_active,0,-124,1,170,"(150,250]",218,"[100,1k)",144,"[120,250)",1219,730+,0,2,31,364,0.0,0,0,7,138,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2785,high_active,0,-124,0,22,"(10,50]",0,0,0,0,151,91-180,1,3,28,68,,0,0,33,195,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2813,high_active,0,-124,1,141,"(100,150]",11,"[10,100)",7,"[5,30)",1213,730+,0,6,2,1180,2.0,0,0,30,368,4,0,2,1.0,0.0,0.0,0.0,0.0,0.0
2829,low_active,0,-124,1,35,"(10,50]",27,"[10,100)",7,"[5,30)",828,730+,1,4,19,672,2.0,0,0,30,114,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2967,2_14_day_new,0,1,1,457,"(250,500]",536,"[100,1k)",457,250+,1584,730+,0,6,28,657,,0,0,26,408,6,3,0,,,,,,
2991,full_active,0,1,1,910,500+,361,"[100,1k)",181,"[120,250)",2076,730+,1,4,29,988,1.0,0,0,22,412,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0
2993,full_active,0,-124,1,32,"(10,50]",4,"[1,10)",3,"[1,5)",476,366-730,1,1,10,1038,2.0,0,1,0,102,5,3,0,1.0,0.0,0.0,0.0,1.0,0.0
3066,full_active,0,-124,0,246,"(150,250]",1,"[1,10)",1,"[1,5)",638,366-730,1,3,29,941,2.0,0,1,44,289,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0
3071,middle_active,0,-124,1,108,"(100,150]",9,"[1,10)",2,"[1,5)",513,366-730,0,5,2,1152,3.0,0,0,33,382,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0
3145,full_active,0,-124,0,21,"(10,50]",5,"[1,10)",1,"[1,5)",1585,730+,1,4,19,594,1.0,0,0,15,151,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0
3180,middle_active,0,1,1,0,0,799,"[100,1k)",0,0,1274,730+,1,5,29,890,0.0,0,0,1,82,2,3,0,1.0,0.0,0.0,0.0,0.0,0.0
3230,high_active,0,-124,1,1252,500+,699,"[100,1k)",574,250+,756,730+,0,1,2,1125,2.0,0,0,31,343,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0
3310,full_active,0,1,1,519,500+,581,"[100,1k)",382,250+,1080,730+,1,1,19,569,1.0,0,1,34,80,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
3394,full_active,0,-124,1,389,"(250,500]",172,"[100,1k)",99,"[60,120)",774,730+,0,1,10,230,1.0,0,1,34,345,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
3438,high_active,0,1,1,334,"(250,500]",19,"[10,100)",18,"[5,30)",660,366-730,1,3,2,1159,3.0,0,1,17,145,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0
3472,single_low_active,0,-124,0,1811,500+,0,0,0,0,655,366-730,1,1,28,992,,0,1,0,446,3,2,0,1.0,0.0,0.0,0.0,1.0,0.0
3490,full_active,0,1,1,18,"(10,50]",439,"[100,1k)",14,"[5,30)",2574,730+,1,3,2,1162,8.0,0,0,28,445,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
3500,full_active,0,-124,1,339,"(250,500]",739,"[100,1k)",275,250+,1039,730+,0,0,19,531,2.0,0,0,13,267,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0
3520,full_active,0,-124,1,51,"(50,100]",3,"[1,10)",2,"[1,5)",1225,730+,1,0,10,335,0.0,0,1,20,383,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0
3632,full_active,0,-124,0,130,"(100,150]",6,"[1,10)",3,"[1,5)",1621,730+,1,3,19,655,1.0,0,1,20,348,4,4,0,1.0,0.0,0.0,0.0,0.0,0.0
3795,full_active,0,1,1,769,500+,743,"[100,1k)",361,250+,471,366-730,0,4,2,1169,8.0,0,0,13,183,6,4,2,0.0,0.0,0.0,0.0,0.0,0.0
3984,full_active,0,-124,1,61,"(50,100]",1,"[1,10)",1,"[1,5)",223,181-365,1,0,31,427,1.0,0,0,15,151,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
4015,full_active,0,-124,1,233,"(150,250]",738,"[100,1k)",232,"[120,250)",496,366-730,0,1,29,891,1.0,0,0,30,185,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
4046,high_active,0,-124,0,22,"(10,50]",0,0,0,0,458,366-730,0,2,10,215,1.0,0,0,30,119,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0
4090,full_active,0,-124,0,6,"(0,10]",1,"[1,10)",0,0,1244,730+,1,3,2,1152,3.0,0,1,8,349,3,0,2,0.0,0.0,0.0,0.0,1.0,0.0
4121,high_active,0,-124,1,75,"(50,100]",9,"[1,10)",3,"[1,5)",947,730+,1,4,28,340,,0,1,32,33,2,4,0,1.0,0.0,0.0,0.0,0.0,0.0
4187,high_active,0,-124,1,133,"(100,150]",160,"[100,1k)",98,"[60,120)",2229,730+,1,2,29,1426,1.0,0,1,10,450,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0
4261,full_active,0,1,1,235,"(150,250]",61,"[10,100)",23,"[5,30)",1822,730+,1,3,29,955,3.0,0,0,14,116,5,2,0,1.0,0.0,1.0,0.0,0.0,0.0
4290,high_active,0,-124,0,41,"(10,50]",2,"[1,10)",1,"[1,5)",838,730+,0,4,19,622,1.0,0,0,19,111,6,0,0,1.0,0.0,1.0,0.0,0.0,0.0
4338,high_active,0,-124,1,141,"(100,150]",4,"[1,10)",4,"[1,5)",439,366-730,0,0,29,958,1.0,0,1,18,325,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
4348,full_active,0,-124,1,69,"(50,100]",216,"[100,1k)",68,"[60,120)",472,366-730,0,1,29,1338,0.0,0,1,34,80,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
4377,full_active,0,1,1,1,"(0,10]",256,"[100,1k)",1,"[1,5)",555,366-730,1,1,29,964,1.0,0,1,12,302,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
4493,full_active,0,-124,1,99,"(50,100]",32,"[10,100)",9,"[5,30)",492,366-730,1,4,19,595,1.0,0,0,13,67,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
4676,full_active,0,-124,1,3,"(0,10]",76,"[10,100)",2,"[1,5)",157,91-180,0,6,19,513,0.0,0,0,7,176,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
4810,high_active,0,-124,1,1682,500+,1377,"[1k,5k)",1244,250+,635,366-730,1,1,29,906,1.0,0,0,31,343,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
4855,middle_active,0,-124,1,279,"(250,500]",362,"[100,1k)",266,250+,1954,730+,1,1,2,1159,3.0,0,1,43,250,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0
4876,high_active,0,-124,0,3,"(0,10]",1,"[1,10)",0,0,177,91-180,0,3,9,478,2.0,0,1,12,70,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0
4997,full_active,0,-124,1,875,500+,1383,"[1k,5k)",834,250+,889,730+,1,1,29,882,1.0,0,0,42,63,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
5129,full_active,0,1,1,283,"(250,500]",304,"[100,1k)",8,"[5,30)",1669,730+,0,3,11,967,1.0,0,1,44,101,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0
5131,middle_active,0,-124,0,21,"(10,50]",0,0,0,0,113,91-180,1,4,2,1159,3.0,0,1,20,326,6,0,2,1.0,0.0,0.0,0.0,0.0,0.0
5141,high_active,0,-124,1,1406,500+,7,"[1,10)",0,0,2540,730+,0,2,2,1152,4.0,0,1,8,181,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
5156,middle_active,0,-124,1,27,"(10,50]",30,"[10,100)",18,"[5,30)",230,181-365,0,1,2,1151,3.0,0,1,43,211,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
5185,full_active,0,-124,1,13,"(10,50]",128,"[100,1k)",2,"[1,5)",2694,730+,0,3,29,939,5.0,0,0,24,137,5,2,0,1.0,0.0,0.0,0.0,0.0,0.0
5312,high_active,0,-124,1,10,"(0,10]",16,"[10,100)",7,"[5,30)",937,730+,0,1,29,947,1.0,0,1,21,157,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
5342,full_active,0,-124,1,4982,500+,5297,"[5k,1w)",4932,250+,1288,730+,1,5,19,560,0.0,0,0,42,50,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
5369,middle_active,0,-124,1,303,"(250,500]",382,"[100,1k)",294,250+,843,730+,0,1,29,1322,2.0,0,1,18,325,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
5389,high_active,0,-124,1,147,"(100,150]",66,"[10,100)",12,"[5,30)",433,366-730,1,1,2,1158,7.0,0,1,43,232,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0
5413,high_active,0,-124,0,13,"(10,50]",3,"[1,10)",3,"[1,5)",837,730+,0,5,29,890,0.0,0,0,22,412,5,3,0,,,,,,
5488,high_active,0,-124,1,117,"(100,150]",81,"[10,100)",72,"[60,120)",97,91-180,1,1,19,578,1.0,0,1,34,381,1,3,0,1.0,0.0,1.0,0.0,0.0,0.0
5551,full_active,0,-124,1,1,"(0,10]",233,"[100,1k)",0,0,358,181-365,1,4,10,63,0.0,0,1,8,36,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
5602,low_active,0,-124,1,139,"(100,150]",195,"[100,1k)",48,"[30,60)",1776,730+,0,1,2,1159,3.0,0,1,9,375,1,4,2,1.0,0.0,0.0,0.0,0.0,0.0
5622,middle_active,0,-124,1,11,"(10,50]",3,"[1,10)",0,0,32,31-60,1,4,2,1165,6.0,0,1,8,36,4,4,2,0.0,0.0,0.0,0.0,0.0,0.0
5673,full_active,0,-124,1,455,"(250,500]",267,"[100,1k)",172,"[120,250)",1037,730+,1,2,19,606,1.0,0,1,43,136,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0
5967,full_active,0,1,1,655,500+,93,"[10,100)",47,"[30,60)",2468,730+,1,4,10,59,1.0,0,0,22,123,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
6067,full_active,0,-124,0,313,"(250,500]",4,"[1,10)",3,"[1,5)",649,366-730,1,2,31,378,3.0,0,1,2,399,4,2,0,1.0,0.0,0.0,0.0,1.0,0.0
6088,full_active,0,-124,1,48,"(10,50]",2288,"[1k,5k)",48,"[30,60)",782,730+,0,3,2,1171,5.0,0,0,42,422,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
6248,full_active,0,1,1,551,500+,83,"[10,100)",61,"[60,120)",2619,730+,1,2,2,1165,6.0,0,0,1,82,2,4,2,1.0,0.0,0.0,0.0,0.0,0.0
6264,full_active,0,-124,1,57,"(50,100]",97,"[10,100)",56,"[30,60)",1413,730+,1,1,22,371,1.0,0,0,30,368,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0
6296,full_active,0,-124,1,162,"(150,250]",460,"[100,1k)",162,"[120,250)",1527,730+,1,1,19,520,0.0,0,0,15,394,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
6318,middle_active,0,-124,1,67,"(50,100]",130,"[100,1k)",45,"[30,60)",2279,730+,1,2,2,1137,3.0,0,0,13,330,5,2,2,1.0,0.0,0.0,0.0,0.0,0.0
6499,full_active,0,1,1,314,"(250,500]",93,"[10,100)",90,"[60,120)",1872,730+,1,5,29,1302,1.0,0,0,13,67,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0
6507,low_active,0,-124,1,115,"(100,150]",17,"[10,100)",8,"[5,30)",1838,730+,1,2,31,734,0.0,0,1,10,76,3,3,0,,,,,,
6563,high_active,0,-124,1,402,"(250,500]",435,"[100,1k)",387,250+,764,730+,0,3,28,210,,0,0,31,354,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
6607,high_active,0,-124,1,63,"(50,100]",46,"[10,100)",25,"[5,30)",1004,730+,1,4,29,906,1.0,0,0,7,154,1,3,0,1.0,0.0,1.0,0.0,0.0,0.0
6618,full_active,0,-124,1,29,"(10,50]",112,"[100,1k)",18,"[5,30)",1867,730+,1,2,2,1210,11.0,0,1,18,393,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0
6749,high_active,0,-124,1,49,"(10,50]",19,"[10,100)",12,"[5,30)",240,181-365,0,0,19,641,1.0,0,1,34,201,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0
6753,full_active,0,-124,0,140,"(100,150]",6,"[1,10)",1,"[1,5)",1182,730+,0,2,9,479,1.0,0,0,22,321,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
6773,full_active,0,1,1,1669,500+,262,"[100,1k)",142,"[120,250)",2029,730+,0,4,42,1030,1.0,0,0,28,280,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
6806,high_active,0,-124,1,144,"(100,150]",248,"[100,1k)",112,"[60,120)",1268,730+,1,1,2,1153,5.0,0,1,8,181,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0
6844,high_active,0,-124,1,1105,500+,228,"[100,1k)",203,"[120,250)",1221,730+,0,1,19,558,2.0,0,0,31,354,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
6968,full_active,0,-124,1,71,"(50,100]",5,"[1,10)",3,"[1,5)",764,730+,1,6,10,77,1.0,0,0,14,452,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7025,full_active,0,-124,1,367,"(250,500]",33,"[10,100)",23,"[5,30)",1571,730+,1,1,19,618,3.0,0,1,8,200,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0
7158,middle_active,0,-124,1,26,"(10,50]",9,"[1,10)",9,"[5,30)",330,181-365,1,1,10,230,1.0,0,1,9,310,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
7176,full_active,0,-124,1,121,"(100,150]",8,"[1,10)",5,"[5,30)",1412,730+,1,2,31,370,5.0,0,0,13,330,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0
7286,high_active,0,1,1,710,500+,928,"[100,1k)",640,250+,839,730+,0,1,10,166,1.0,0,1,18,189,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
7303,2_14_day_new,0,-124,1,654,500+,1042,"[1k,5k)",625,250+,1458,730+,0,1,2,1159,3.0,0,1,43,221,4,4,2,1.0,0.0,0.0,0.0,0.0,0.0
7316,full_active,0,-124,0,38,"(10,50]",10,"[10,100)",1,"[1,5)",1051,730+,0,6,10,90,1.0,0,0,24,45,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0
7401,high_active,0,-124,1,50,"(10,50]",8,"[1,10)",0,0,755,730+,0,3,10,1037,0.0,0,1,8,287,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0
7415,high_active,0,-124,1,47,"(10,50]",16,"[10,100)",1,"[1,5)",1604,730+,1,4,29,1355,0.0,0,0,13,392,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
7497,full_active,0,-124,1,495,"(250,500]",550,"[100,1k)",473,250+,555,366-730,1,1,29,926,1.0,0,0,14,65,3,2,0,1.0,0.0,0.0,1.0,1.0,0.0
7545,full_active,0,-124,1,459,"(250,500]",129,"[100,1k)",66,"[60,120)",1182,730+,1,4,29,906,1.0,0,1,43,43,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0
7641,full_active,0,-124,1,51,"(50,100]",99,"[10,100)",31,"[30,60)",2641,730+,1,2,2,1159,3.0,0,0,38,139,4,3,2,1.0,0.0,0.0,1.0,1.0,0.0
7723,full_active,0,-124,1,1949,500+,990,"[100,1k)",787,250+,2038,730+,1,5,19,648,2.0,0,1,43,211,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0
7730,high_active,0,-124,1,511,500+,594,"[100,1k)",476,250+,1122,730+,0,1,2,1175,1.0,0,1,34,430,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
7746,middle_active,0,-124,1,297,"(250,500]",32,"[10,100)",22,"[5,30)",308,181-365,0,1,10,339,1.0,0,1,44,400,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
7907,full_active,0,-124,1,97,"(50,100]",271,"[100,1k)",97,"[60,120)",1303,730+,1,2,2,1161,8.0,0,0,31,305,5,2,2,1.0,0.0,0.0,0.0,0.0,0.0
7927,full_active,0,-124,1,72,"(50,100]",12,"[10,100)",5,"[5,30)",1057,730+,1,1,29,949,1.0,0,1,20,286,6,2,0,1.0,0.0,0.0,0.0,1.0,0.0
8046,full_active,0,-124,1,269,"(250,500]",360,"[100,1k)",227,"[120,250)",216,181-365,0,1,10,1004,1.0,0,0,33,41,3,3,0,1.0,0.0,1.0,0.0,0.0,0.0
8071,high_active,0,-124,1,600,500+,70,"[10,100)",68,"[60,120)",260,181-365,1,1,19,561,0.0,0,1,20,191,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0
8152,full_active,0,-124,1,17,"(10,50]",10,"[10,100)",2,"[1,5)",1493,730+,1,3,29,977,2.0,0,1,10,254,3,3,0,1.0,0.0,1.0,0.0,0.0,0.0
